step,train_loss
100,2.7069
200,1.1827
300,1.1123
400,1.0184
500,1.0122
600,0.9469
700,0.9446
800,0.799
900,0.803
1000,0.8026
1100,0.803
1200,0.8017
1300,0.7871
1400,0.7482
1500,0.6537
1600,0.6547
1700,0.6405
1800,0.6667
1900,0.6349
2000,0.632
2100,0.635
2200,0.5234
2300,0.5452
2400,0.5384
2500,0.5246
2600,0.5317
2700,0.5174
2800,0.5138
2900,0.4336
3000,0.4342
3100,0.4408
3200,0.4297
3300,0.4254
3400,0.4144
